14:00:28:734 [ALWAYS]	GUDE Logging Started
14:00:28:736 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:00:28:736 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:00:28:737 [ERROR]	Initialize resume cache pointer failure
14:00:28:737 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
14:00:28:737 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
14:00:34:474 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
14:00:34:475 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:00:34:475 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:00:34:475 [ERROR]	Initialize resume cache pointer failure
14:00:34:475 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
14:00:34:475 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
